field_number,data_point,data_field_title,column_name,data_type,valid_value_codes,valid_value_descriptions,conditionality,instructions,rule_section,examples,validations
48,Number of principal owners,Number of principal owners,num_principal_owners,Single response,,,Conditionally required if 'number of principal owners: NP flag' is code 0. Leave blank if code 0 is not entered.,"Enter the number of the applicant's principal owners. If no principal owner has at least 25% ownership of the business, enter 0.",12 CFR 1002.107(a)(20),,"When present, must equal 0, 1, 2, 3, or 4"
49,Demographic information of principal owner 1,Ethnicity of principal owner 1,po_1_ethnicity,Multiple response,1;11;12;13;14;2;3;77;88,Code 1 - Hispanic or Latino; Code 11 - Cuban; Code 12 - Mexican; Code 13 - Puerto Rican; Code 14 - Other Hispanic or Latino Ethnicity ; Code 2 - Not Hispanic or Latino; Code 3 - The applicant responded that they did not wish to provide this information; Code 77 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the ethnicity of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. If the applicant indicates more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Mexican, enter 12; If Mexican and Puerto Rican, enter 12;13 or 13;12; If Mexican and the applicant responded that they did not wish to provide this information, enter 12","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 3, 77, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
50,Demographic information of principal owner 1,Ethnicity of principal owner 1: free form text field for other Hispanic or Latino ethnicity,po_1_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 1' contains code 77. Report not applicable by leaving blank if code 77 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 77 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
51,Demographic information of principal owner 1,Race of principal owner 1,po_1_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;6;71;72;73;74;88,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Guamanian or Chamorro; Code 42 - Native Hawaiian; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 6 - The applicant responded that they did not wish to provide this information; Code 71 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe (specify in the associated free form text field); Code 72 - The applicant responded in the free-form text field for Other Asian race (specify in the associated free form text field); Code 73 - The applicant responded in the free-form text field for Other Black or African race (specify in the associated free form text field); Code 74 - The applicant responded in the free-form text field for Other Pacific Islander race (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the race of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. If the applicant indicates more than one race for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 6, 71, 72, 73, 74, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
52,Demographic information of principal owner 1,Race of principal owner 1: free form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_1_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 71. Report not applicable by leaving blank if code 71 is not entered,"Specify in text the principal owner 1's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
53,Demographic information of principal owner 1,Race of principal owner 1: free form text field for other Asian race,po_1_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 72. Report not applicable by leaving blank if code 72 is not entered,"Specify in text the principal owner 1's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
54,Demographic information of principal owner 1,Race of principal owner 1: free form text field for other Black or African American race,po_1_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 73. Report not applicable by leaving blank if code 73 is not entered,"Specify in text the principal owner 1's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
55,Demographic information of principal owner 1,Race of principal owner 1: free form text field for other Pacific Islander race,po_1_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 74. Report not applicable by leaving blank if code 74 is not entered,"Specify in text the principal owner 1's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
56,Demographic information of principal owner 1,Sex/gender of principal owner 1: NP flag,po_1_gender_flag,Single response,1;2;88,Code 1 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 2 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the sex/gender of the applicant's principal owner 1 by entering, as appropriate, from the specified codes.",12 CFR 1002.107(a)(19),,"When present, must equal 1, 2, or 88"
57,Demographic information of principal owner 1,Sex/gender of principal owner 1: free form text field for self-identified sex/gender,po_1_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 1' is code 1. Report not applicable by leaving blank if code 1 is not entered. ,"Specify in text the principal owner 1's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
58,Demographic information of principal owner 2,Ethnicity of principal owner 2,po_2_ethnicity,Multiple response,1;11;12;13;14;2;3;77;88,Code 1 - Hispanic or Latino; Code 11 - Cuban; Code 12 - Mexican; Code 13 - Puerto Rican; Code 14 - Other Hispanic or Latino Ethnicity ; Code 2 - Not Hispanic or Latino; Code 3 - The applicant responded that they did not wish to provide this information; Code 77 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there are at least two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate the ethnicity of the applicant's principal owner 2 by entering, as appropriate, from the specified codes. If the applicant indicates more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Mexican, enter 12; If Mexican and Puerto Rican, enter 12;13 or 13;12; If Mexican and the applicant responded that they did not wish to provide this information, enter 12","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 3, 77, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
59,Demographic information of principal owner 2,Ethnicity of principal owner 2: free form text field for other Hispanic or Latino ethnicity,po_2_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 2' contains code 77. Leave blank if code 77 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 77 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
60,Demographic information of principal owner 2,Race of principal owner 2,po_2_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;6;71;72;73;74;88,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Guamanian or Chamorro; Code 42 - Native Hawaiian; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 6 - The applicant responded that they did not wish to provide this information; Code 71 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe (specify in the associated free form text field); Code 72 - The applicant responded in the free-form text field for Other Asian race (specify in the associated free form text field); Code 73 - The applicant responded in the free-form text field for Other Black or African race (specify in the associated free form text field); Code 74 - The applicant responded in the free-form text field for Other Pacific Islander race (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there are at least two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate the race of the applicant's principal owner 2 by entering, as appropriate, from the specified codes. If the applicant indicates more than one race for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 6, 71, 72, 73, 74, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
61,Demographic information of principal owner 2,Race of principal owner 2: free form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_2_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 71. Leave blank if code 71 is not entered.,"Specify in text the principal owner 2's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
62,Demographic information of principal owner 2,Race of principal owner 2: free form text field for other Asian race,po_2_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 72. Leave blank if code 72 is not entered.,"Specify in text the principal owner 2's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
63,Demographic information of principal owner 2,Race of principal owner 2: free form text field for other Black or African American race,po_2_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 73. Leave blank if code 73 is not entered.,"Specify in text the principal owner 2's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
64,Demographic information of principal owner 2,Race of principal owner 2: free form text field for other Pacific Islander race,po_2_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 74. Leave blank if code 74 is not entered.,"Specify in text the principal owner 2's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
65,Demographic information of principal owner 2,Sex/gender of principal owner 2: NP flag,po_2_gender_flag,Single response,1;2;88,Code 1 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 2 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Conditionally required if there are at least two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate the sex/gender of the applicant's principal owner 2 by entering, as appropriate, from the specified codes.",12 CFR 1002.107(a)(19),,"When present, must equal 1, 2, or 88"
66,Demographic information of principal owner 2,Sex/gender of principal owner 2: free form text field for self-identified sex/gender,po_2_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 2' is code 1. Leave blank if code 1 is not entered.,"Specify in text the principal owner 2's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
67,Demographic information of principal owner 3,Ethnicity of principal owner 3,po_3_ethnicity,Multiple response,1;11;12;13;14;2;3;77;88,Code 1 - Hispanic or Latino; Code 11 - Cuban; Code 12 - Mexican; Code 13 - Puerto Rican; Code 14 - Other Hispanic or Latino Ethnicity ; Code 2 - Not Hispanic or Latino; Code 3 - The applicant responded that they did not wish to provide this information; Code 77 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there are at least three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate the ethnicity of the applicant's principal owner 3 by entering, as appropriate, from the specified codes. If the applicant indicates more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Mexican, enter 12; If Mexican and Puerto Rican, enter 12;13 or 13;12; If Mexican and the applicant responded that they did not wish to provide this information, enter 12","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 3, 77, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
68,Demographic information of principal owner 3,Ethnicity of principal owner 3: free form text field for other Hispanic or Latino ethnicity,po_3_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 3' contains code 77. Leave blank if code 77 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 77 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
69,Demographic information of principal owner 3,Race of principal owner 3,po_3_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;6;71;72;73;74;88,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Guamanian or Chamorro; Code 42 - Native Hawaiian; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 6 - The applicant responded that they did not wish to provide this information; Code 71 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe (specify in the associated free form text field); Code 72 - The applicant responded in the free-form text field for Other Asian race (specify in the associated free form text field); Code 73 - The applicant responded in the free-form text field for Other Black or African race (specify in the associated free form text field); Code 74 - The applicant responded in the free-form text field for Other Pacific Islander race (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there are at least three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate the race of the applicant's principal owner 3 by entering, as appropriate, from the specified codes. If the applicant indicates more than one race for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 6, 71, 72, 73, 74, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
70,Demographic information of principal owner 3,Race of principal owner 3: free form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_3_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 71. Leave blank if code 71 is not entered.,"Specify in text the principal owner 3's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
71,Demographic information of principal owner 3,Race of principal owner 3: free form text field for other Asian race,po_3_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 72. Leave blank if code 72 is not entered.,"Specify in text the principal owner 3's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
72,Demographic information of principal owner 3,Race of principal owner 3: free form text field for other Black or African American race,po_3_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 73. Leave blank if code 73 is not entered.,"Specify in text the principal owner 3's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
73,Demographic information of principal owner 3,Race of principal owner 3: free form text field for other Pacific Islander race,po_3_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 74. Leave blank if code 74 is not entered.,"Specify in text the principal owner 3's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
74,Demographic information of principal owner 3,Sex/gender of principal owner 3: NP flag,po_3_gender_flag,Single response,1;2;88,Code 1 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 2 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Conditionally required if there are at least three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate the sex/gender of the applicant's principal owner 3 by entering, as appropriate, from the specified codes.",12 CFR 1002.107(a)(19),,"When present, must equal 1, 2, or 88"
75,Demographic information of principal owner 3,Sex/gender of principal owner 3: free form text field for self-identified sex/gender,po_3_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 3' is code 1. Leave blank if code 1 is not entered.,"Specify in text the principal owner 3's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
76,Demographic information of principal owner 4,Ethnicity of principal owner 4,po_4_ethnicity,Multiple response,1;11;12;13;14;2;3;77;88,Code 1 - Hispanic or Latino; Code 11 - Cuban; Code 12 - Mexican; Code 13 - Puerto Rican; Code 14 - Other Hispanic or Latino Ethnicity ; Code 2 - Not Hispanic or Latino; Code 3 - The applicant responded that they did not wish to provide this information; Code 77 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate the ethnicity of the applicant's principal owner 4 by entering, as appropriate, from the specified codes. If the applicant indicates more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Mexican, enter 12; If Mexican and Puerto Rican, enter 12;13 or 13;12; If Mexican and the applicant responded that they did not wish to provide this information, enter 12","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 3, 77, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
77,Demographic information of principal owner 4,Ethnicity of principal owner 4: free form text field for other Hispanic or Latino ethnicity,po_4_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 4' contains code 77. Leave blank if code 77 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 77 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
78,Demographic information of principal owner 4,Race of principal owner 4,po_4_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;6;71;72;73;74;88,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Guamanian or Chamorro; Code 42 - Native Hawaiian; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 6 - The applicant responded that they did not wish to provide this information; Code 71 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe (specify in the associated free form text field); Code 72 - The applicant responded in the free-form text field for Other Asian race (specify in the associated free form text field); Code 73 - The applicant responded in the free-form text field for Other Black or African race (specify in the associated free form text field); Code 74 - The applicant responded in the free-form text field for Other Pacific Islander race (specify in the associated free form text field); Code 88 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate the race of the applicant's principal owner 4 by entering, as appropriate, from the specified codes. If the applicant indicates more than one race for a principal owner, enter each, in any order, separated by a semicolon.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 6, 71, 72, 73, 74, or 88; Should not contain duplicated values; When code 88 is reported, should not contain any other values"
79,Demographic information of principal owner 4,Race of principal owner 4: free form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_4_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 71. Leave blank if code 71 is not entered.,"Specify in text the principal owner 4's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
80,Demographic information of principal owner 4,Race of principal owner 4: free form text field for other Asian race,po_4_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 72. Leave blank if code 72 is not entered.,"Specify in text the principal owner 4's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
81,Demographic information of principal owner 4,Race of principal owner 4: free form text field for other Black or African American race,po_4_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 73. Leave blank if code 73 is not entered.,"Specify in text the principal owner 4's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
82,Demographic information of principal owner 4,Race of principal owner 4: free form text field for other Pacific Islander race,po_4_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 74. Leave blank if code 74 is not entered.,"Specify in text the principal owner 4's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
83,Demographic information of principal owner 4,Sex/gender of principal owner 4: NP flag,po_4_gender_flag,Single response,1;2;88,Code 1 - The applicant responded in the free-form text field (specify in the associated free form text field); Code 2 - The applicant responded that they did not wish to provide this information; Code 88 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate the sex/gender of the applicant's principal owner 4 by entering, as appropriate, from the specified codes.",12 CFR 1002.107(a)(19),,"When present, must equal 1, 2, or 88"
84,Demographic information of principal owner 4,Sex/gender of principal owner 4: free form text field for self-identified sex/gender,po_4_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 4' is code 1. Leave blank if code 1 is not entered.,"Specify in text the principal owner 4's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
